No.,Height [level],Fur Density [furs/cm^2],Fur Arrangement,Number of Drops,Needle,Fur Sample,Fur Type,Fur Orientation,Replication,Camera Settings,Lighting,Names,Notes,Resolution [pixels/mm],Steady State Penetration Depth [mm],Maximum Penetration Depth [mm],Droplet Final Spread [mm],Droplet Maximum Spread [mm],Droplet Velocity [m/s],Droplet Diameter [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Delta_pos,Delta_spread,Delta_Pen,Delta_DomeHeight,Tausp,Tausx,Taush,Tauss,Taumaxspread,Date,Filename,Initial Impact Classification,Steady-State Impact Classification,Video Quality,No. of Levels (Steady Penet Depth),No. of Levels (Max. Penet Depth),Weber #,Comments
h184,4,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,23.4,5.427350427,5.427350427,3.547008547,5.641025641,1.481990232,2.585608258,0.4273504274,0.3418803419,18.10159303,40,0.01192360452,1.452991453,-0.04273504274,0.641025641,0.4608294931,14.47004608,11.70506912,,2.483731885,03/24/2024,h5_E1_4_31,"D, W",JID,Uncalibrated Camera,"replaced these with the right date, a copy existed elsewhere",,,
h185,4,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,24.6,5,5.12195122,3.37398374,4.715447154,1.442891902,2.499009465,0.1219512195,0.1219512195,15.50003104,40,0.1829077959,0.4471544715,0.0406504065,0.1219512195,8.571428571,22.39631336,19.8156682,,1.941603747,03/24/2024,h5_E1_4_32,"D, W",JID,Uncalibrated Camera,,,,
h186,4,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,25.5,4.941176471,4.941176471,3.37254902,5.607843137,1.517829101,2.542632819,0,0,13.31729585,36,0.05293312399,0.6666666667,-0.03921568627,0,1.175115207,30.48387097,8.225806452,,1.546898021,03/24/2024,h5_E1_4_33,"E, W",JRS,Uncalibrated Camera,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h187,4,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,20.6,15.58252427,15.58252427,3.058252427,3.689320388,1.472837261,2.7529381,0,0,15.02244201,40,0.08391184946,-1.650485437,0,-1.70E+02,0.6998847926,39.11578341,1.062788018,,0.7110084751,06/06/2024,h5_E1_5.2_31,"E, PDF","E, PDF",,,,,
h188,4,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,20.6,14.61165049,14.61165049,6.45631068,6.601941748,1.492019283,2.829392019,0.1941747573,0,16.80172652,105,0.02009299449,-0.6310679612,0,0.1941747573,35,34.95391705,15.13824885,,13.69930994,06/06/2024,h5_E1_5.2_32,"D, PDF","D, PDF",,,,,
h189,4,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,18.4,14.89130435,14.89130435,3.423913043,4.184782609,1.467054785,2.80916428,0,0,23.21453722,30,0.01596538648,1.847826087,0.7065217391,-1.65E+02,8.732718894,19.65437788,14.8156682,,0.6963184962,06/06/2024,h5_E1_5.2_33,"D, PDF","D, PDF","Típicamente, no tenemos que hacerlo como este",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h190,4,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,28.2,2.553191489,2.553191489,6.241134752,6.631205674,1.499009465,2.500078593,0.2127659574,0.1063829787,16.36400496,34,0.03875871985,3.617021277,0,0.390070922,0,6.814516129,3.669354839,,2.4417887,03/23/2024,h5_E1_6_31,"D, W",BE,BAD cant see,,,,
h191,4,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,27.3,4.322344322,4.322344322,5.238095238,5.860805861,1.452547453,2.583711265,0.1831501832,0.1098901099,18.06178026,31,0.9146051859,-0.695970696,-0.5494505495,0.3663003663,0.4665898618,9.279953917,4.406682028,,2.998368994,03/23/2024,h5_E1_6_32,"D, W",JID,BAD cant see,,,,
h192,4,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,28.5,4.105263158,4.105263158,5.228070175,5.754385965,1.584025414,2.688079597,0.1052631579,0,16.02057357,33,0.07067639699,1.263157895,0,0.3157894737,0.9838709677,8.693548387,2.693548387,,2.780908717,03/23/2024,h5_E1_6_33,"D, W",JID,BAD cant see,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h193,4,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,25.8,2.984496124,2.984496124,3.992248062,5.07751938,1.544573643,2.677373282,0.1550387597,0,20.09811809,30,0.1217133468,1.472868217,0,0.3100775194,0.2880184332,16.87788018,13.88248848,,1.346097383,06/16/2023,h5_E1_7_31,"D, i","D, W","good video, bad example",,,,
h194,4,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,26.4,4.204545455,4.204545455,4.166666667,4.886363636,1.48538961,2.624220323,0.1893939394,0.1515151515,18.92472169,31,0.530536896,1.136363636,0,0.4545454545,1.209677419,23.9516129,2.983870968,,2.264123325,06/16/2023,h5_E1_7_32,"D, i","E, W","good video, bad example",,,,
h195,4,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,27,4.592592593,4.592592593,3.703703704,5.444444444,1.446296296,2.541107515,0.1851851852,0.1481481481,17.18295052,27,0.1365754996,1.222222222,0,0.3703703704,1.140552995,23.74423963,9.435483871,,1.328039581,06/16/2023,h5_E1_7_33,"D, i","D, W","good video, bad example",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h196,4,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,21.8,6.055045872,6.055045872,4.174311927,4.403669725,1.484392129,2.883721371,0,0,21.87350421,21,0.1955621176,2.110091743,0,0,-0.02880184332,20.19009217,0.8928571429,,1.327750326,06/06/2024,h5_E1_8.2_31,C,,,,,,
h197,4,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,20.4,6.470588235,6.470588235,4.362745098,4.705882353,1.474789916,2.898191826,0,0,25.49235747,21,0.2033586237,2.156862745,-0.04901960784,0.00E+00,0.3744239631,18.69239631,1.238479263,,1.356974743,06/06/2024,h5_E1_8.1_32,C,,PIECE FALLS THROUGH,this one is gonna be weird to analyse,,,
h198,4,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,16.6,7.951807229,11.02409639,3.855421687,5,1.546227324,2.895424662,0.6024096386,0.3614457831,27.5851591,59,0.2338558505,0.7228915663,0,1.20E+00,20.40034562,26.93260369,1.944124424,,0.9414643707,06/06/2024,h5_E1_8.1_33,"D, ii","D, ii",PIECE FALLS THROUGH,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h199,4,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,27.9,5.483870968,5.483870968,7.275985663,7.311827957,1.548387097,2.648753838,0,0,19.46047403,161,0.004595618583,2.007168459,1.397849462,0,11.19815668,16.7281106,4.470046083,,29.81316754,06/12/2023,h5_E1_3_34,"E, ii",ih,these are fine,,,,
h200,4,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,very large taumaxspread,29.4,4.557823129,4.557823129,6.394557823,6.394557823,1.447124304,2.508882942,0,0,16.53749835,331,0.50614081,0.8503401361,-0.306122449,0.1020408163,12.82258065,22.5,8.790322581,,60.37175935,06/12/2023,h5_E1_3_35,"E, i",ih,^^,,,,
h201,4,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,23.8,3.949579832,3.949579832,5.210084034,5.504201681,1.462729387,2.803467217,0,0,15.21031944,43,0.5136860546,0,0,0.00E+00,-0.01728110599,2.747695853,4.786866359,,1.163123257,06/04/2024,h5_E1_3_36,"E, W","NR -> E, W",,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
h202,4,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4.2_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,14.6,3.561643836,3.561643836,3.287671233,3.424657534,1.438440716,2.746226362,0,0,14.69767331,61,0.4634195113,0.3424657534,-1.438356164,0.00E+00,3.084677419,9.254032258,0.8669354839,,0.6859697986,06/04/2024,h5_E1_4_34,"E, W","E, W",,,,,
h203,4,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4.2_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,12.4,4.193548387,4.193548387,4.274193548,4.435483871,1.527751423,2.967229387,0,0,27.35785117,67,0.6744771614,0.564516129,-2.903225806,0.00E+00,2.825460829,26.36232719,1.425691244,,1.887874002,06/04/2024,h5_E1_4_35,"E, W","E, i",,,,,
h204,4,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4.2_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,14,4,4.285714286,3.428571429,3.857142857,1.492812039,2.813829202,0,0,17.70983717,67,0.02815863187,-1.714285714,-0.2857142857,0.00E+00,30.01728111,23.9343318,4.44124424,,1.739047887,06/04/2024,h5_E1_4_36,"E, I","NR/ E, W",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h205,4,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5.2_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,20.6,18.15533981,18.15533981,3.932038835,4.466019417,1.564519523,2.911662616,0,0,25.8494775,30,1.274407694,1.310679612,-0.09708737864,0.00E+00,9.418202765,33.95737327,1.123271889,,0.5373285745,06/04/2024,h5_E1_5.2_34,"E, PDF","E, PDF",,,,,
h206,4,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5.2_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,23.4,17.22222222,17.22222222,2.820512821,3.58974359,1.412839328,2.555789107,0,0,14.75881477,30,0.4264316525,0.5982905983,-0.2136752137,0.00E+00,0.1728110599,24.91935484,1.693548387,,0.537268273,06/04/2024,h5_E1_5.2_35,"E, PDF","E, PDF",,,,,
h207,4,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5.2_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,22.8,17.5877193,17.5877193,3.377192982,3.771929825,1.473283576,2.586900803,0,0,13.93548665,31,0.7323004674,1.622807018,-0.2631578947,0.00E+00,0.599078341,25.29953917,1.244239631,,0.9794994589,06/04/2024,h5_E1_5.2_36,"E, PDF","E, PDF",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h208,4,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,24.6,3.943089431,3.943089431,5.12195122,5.528455285,1.454301796,2.457193098,0.1219512195,0,15.53625992,42,0.1785128281,1.788617886,0,0.1219512195,0.6221198157,6.98156682,3.248847926,,1.775564725,03/23/2024,h5_E1_6_34,"E, W",NR,BAD cant see,,,,
h209,4,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,23.4,4.230769231,4.230769231,5.128205128,5.683760684,1.533182504,2.567294631,0,0,17.71967514,41,1.085531773,-0.7264957265,0,0,0.4435483871,10.76612903,1.491935484,,1.39346135,03/23/2024,h5_E1_6_35,"E, W",NR,BAD cant see,,,,
h210,4,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,27.3,3.26007326,5.128205128,5.970695971,7.216117216,1.516248722,2.812983372,0,0,32.71883673,30,0.5794438843,-0.8424908425,0.1098901099,0.1831501832,7.073732719,7.165898618,4.032258065,,4.883201571,03/23/2024,h5_E1_6_36,"E, W",NR,BAD cant see,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h211,4,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,column alg,30.9,4.627831715,4.627831715,4.174757282,4.336569579,1.409238011,2.774083706,0.1618122977,0,22.35565003,37,0.3341180075,1.877022654,0,0.2588996764,0.633640553,17.10829493,5.81797235,,3.725342556,07/23/2023,h5_E1_7_34,"D, W","D, W",IN ONEDRIVE,,,,
h212,4,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,column alg,30.9,5.339805825,5.339805825,4.045307443,4.530744337,1.392174169,2.702479363,0.1294498382,0,20.66882446,20,0.01834091034,1.844660194,0,0.1294498382,0.8986175115,21.359447,4.35483871,,1.030294024,07/23/2023,h5_E1_7_35,"E, i","D, i",IN ONEDRIVE,,,,
h213,4,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,column alg,30,5.5,5.5,4.3,4.6,1.458333333,2.853736049,0.1333333333,0,24.337167,26,0.2069028407,1.9,0,0.3,0.6912442396,14.23963134,4.65437788,,2.044104021,07/23/2023,h5_E1_7_36,"D, i","D, i",IN ONEDRIVE,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
